time,hand_accelerometer_x,hand_accelerometer_y,hand_accelerometer_z,hand_gyroscope_x,hand_gyroscope_y,hand_gyroscope_z,hand_magnetometer_x,hand_magnetometer_y,hand_magnetometer_z,ankle_accelerometer_x,ankle_accelerometer_y,ankle_accelerometer_z,ankle_gyroscope_x,ankle_gyroscope_y,ankle_gyroscope_z,ankle_magnetometer_x,ankle_magnetometer_y,ankle_magnetometer_z,chest_accelerometer_x,chest_accelerometer_y,chest_accelerometer_z,chest_gyroscope_x,chest_gyroscope_y,chest_gyroscope_z,chest_magnetometer_x,chest_magnetometer_y,chest_magnetometer_z
17:54.012,0.13623046875,0.16357421875,2.09521484375,4.791259765625,-4.57000732421875,-6.46209716796875,10.645665445665445,27.588766788766787,44.38192918192918,-1.65234375,-0.7587890625,0.94384765625,-2.34222412109375,0.5645751953125,-0.89263916015625,34.78583638583638,-71.37094017094017,91.46275946275946,0.31103515625,2.046875,0.07421875,-0.09918212890625,-1.19781494140625,0.2288818359375,-57.57655677655677,25.03980463980464,47.98046398046398
17:54.792,-0.00634765625,-0.12548828125,1.97705078125,-18.86749267578125,10.3912353515625,24.00970458984375,13.494505494505495,28.93821733821734,41.98290598290598,-1.5439453125,-0.794921875,0.857421875,1.62506103515625,1.983642578125,-0.5340576171875,34.635897435897434,-72.72039072039071,93.11208791208792,0.33740234375,2.0517578125,0.078125,-0.823974609375,-0.3662109375,1.8768310546875,-59.825641025641026,24.739926739926737,47.53064713064713
17:55.572,-0.21728515625,0.21923828125,2.1669921875,-5.462646484375,5.33294677734375,12.73345947265625,13.644444444444444,28.488400488400487,46.33113553113553,-1.5966796875,-0.75390625,0.84912109375,2.1514892578125,0.75531005859375,-0.48828125,34.186080586080585,-72.87032967032967,93.86178266178266,0.30029296875,2.05322265625,0.07177734375,-1.068115234375,2.78472900390625,3.5858154296875,-59.37582417582417,25.78949938949939,48.28034188034188
17:56.449,-0.21728515625,0.21923828125,2.1669921875,7.88116455078125,-0.42724609375,-40.2374267578125,11.695238095238095,27.88864468864469,40.033699633699634,-1.58447265625,-0.72998046875,0.8603515625,-6.06536865234375,-1.8310546875,5.85174560546875,35.08571428571428,-73.47008547008546,92.06251526251526,0.2587890625,2.04150390625,0.05810546875,-0.93841552734375,2.13623046875,-1.13677978515625,-60.125518925518925,23.99023199023199,48.58021978021978
17:57.327,-0.3359375,0.52880859375,1.939453125,7.88116455078125,-0.42724609375,-40.2374267578125,15.593650793650793,34.336019536019535,35.835409035409036,-1.61328125,-0.6982421875,0.8544921875,-1.89971923828125,0.03814697265625,2.49481201171875,35.23565323565323,-72.42051282051281,91.76263736263736,0.29248046875,2.04296875,0.07763671875,-0.7476806640625,-3.54766845703125,6.40869140625,-57.42661782661782,24.589987789987788,46.33113553113553
17:58.107,0.078125,-0.2626953125,2.30908203125,-19.0277099609375,0.3662109375,20.416259765625,15.593650793650793,34.336019536019535,35.835409035409036,-1.61328125,-0.6982421875,0.8544921875,-1.89971923828125,0.03814697265625,2.49481201171875,33.88620268620269,-73.76996336996336,92.36239316239316,0.29248046875,2.04296875,0.07763671875,-0.7476806640625,-3.54766845703125,6.40869140625,-58.77606837606837,24.29010989010989,46.93089133089133
17:58.936,0.09765625,0.24072265625,2.14208984375,-7.3394775390625,1.0223388671875,12.451171875,19.34212454212454,27.288888888888888,50.67936507936508,-1.58154296875,-0.748046875,0.8662109375,2.9144287109375,3.18145751953125,-1.3885498046875,33.88620268620269,-73.76996336996336,92.36239316239316,0.32275390625,2.04052734375,0.08447265625,-1.93023681640625,3.86810302734375,4.8370361328125,-58.77606837606837,24.29010989010989,46.93089133089133
17:59.765,-0.17822265625,0.7744140625,1.88525390625,9.81903076171875,-6.805419921875,-21.6064453125,17.692796092796094,27.13894993894994,42.43272283272283,-1.61962890625,-0.71875,0.888671875,-7.01141357421875,-2.3193359375,5.98907470703125,34.78583638583638,-72.42051282051281,92.5123321123321,0.27294921875,2.044921875,0.07763671875,-1.22833251953125,1.312255859375,0.5035400390625,-58.176312576312576,25.18974358974359,48.73015873015873
18:00.593,-0.138671875,-0.15673828125,2.1669921875,4.26483154296875,34.58404541015625,19.5465087890625,15.893528693528692,33.88620268620269,34.93577533577533,-1.59765625,-0.740234375,0.80224609375,-5.33294677734375,0.17547607421875,0.99945068359375,34.635897435897434,-75.26935286935287,93.71184371184371,0.30322265625,2.03955078125,0.0693359375,-0.9918212890625,1.73187255859375,0.396728515625,-58.176312576312576,25.18974358974359,48.43028083028083
18:01.373,-0.138671875,-0.15673828125,2.1669921875,4.26483154296875,34.58404541015625,19.5465087890625,18.142612942612942,26.83907203907204,44.38192918192918,-1.66064453125,-0.69189453125,0.84619140625,1.861572265625,-0.152587890625,0.45013427734375,33.58632478632479,-73.02026862026862,91.01294261294261,0.28466796875,2.04736328125,0.0888671875,-1.46484375,0.152587890625,1.434326171875,-57.12673992673992,24.14017094017094,47.68058608058608
18:02.153,0.1845703125,0.0458984375,2.05029296875,-11.61956787109375,-13.92364501953125,-12.1307373046875,18.142612942612942,26.83907203907204,44.38192918192918,-1.66064453125,-0.69189453125,0.84619140625,1.861572265625,-0.152587890625,0.45013427734375,32.536752136752135,-70.47130647130646,90.56312576312575,0.28466796875,2.04736328125,0.0888671875,-1.46484375,0.152587890625,1.434326171875,-56.826862026862024,25.78949938949939,47.53064713064713
18:02.933,-0.18896484375,0.84228515625,1.96728515625,-4.06646728515625,-5.72967529296875,12.6495361328125,17.39291819291819,27.588766788766787,44.68180708180708,-1.62646484375,-0.76513671875,0.85107421875,-2.62451171875,-3.387451171875,1.53350830078125,32.536752136752135,-70.47130647130646,90.56312576312575,0.2822265625,2.0498046875,0.087890625,-0.9002685546875,2.62451171875,3.3111572265625,-56.826862026862024,25.78949938949939,47.53064713064713
18:03.811,0.37451171875,0.00390625,2.09765625,5.035400390625,2.4871826171875,34.30938720703125,16.64322344322344,35.38559218559219,37.934554334554335,-1.6201171875,-0.70068359375,0.82763671875,-10.68878173828125,-0.17547607421875,2.35748291015625,34.336019536019535,-73.47008547008546,92.66227106227106,0.29248046875,2.05126953125,0.0830078125,-0.335693359375,0.83160400390625,0.77056884765625,-59.22588522588522,25.639560439560437,47.380708180708176
