time,hand_accelerometer_x,hand_accelerometer_y,hand_accelerometer_z,hand_gyroscope_x,hand_gyroscope_y,hand_gyroscope_z,hand_magnetometer_x,hand_magnetometer_y,hand_magnetometer_z,ankle_accelerometer_x,ankle_accelerometer_y,ankle_accelerometer_z,ankle_gyroscope_x,ankle_gyroscope_y,ankle_gyroscope_z,ankle_magnetometer_x,ankle_magnetometer_y,ankle_magnetometer_z,chest_accelerometer_x,chest_accelerometer_y,chest_accelerometer_z,chest_gyroscope_x,chest_gyroscope_y,chest_gyroscope_z,chest_magnetometer_x,chest_magnetometer_y,chest_magnetometer_z
22:42.674,-0.13525390625,-1.89013671875,0.810546875,6.26373291015625,70.53375244140625,3.0670166015625,58.176312576312576,-7.946764346764346,50.07960927960928,-1.9072265625,-0.01220703125,0.376953125,-3.76129150390625,-3.173828125,0.06866455078125,16.193406593406593,-58.326251526251525,32.98656898656898,0.06201171875,2.00537109375,-0.38916015625,-1.35040283203125,0.579833984375,1.83868408203125,-54.577777777777776,32.536752136752135,14.993894993894994
22:43.551,0.21142578125,-1.9228515625,0.373046875,-4.5166015625,35.430908203125,-0.22125244140625,59.22588522588522,-7.496947496947497,46.93089133089133,-1.916015625,-0.06005859375,0.36572265625,-4.9896240234375,0.8544921875,-0.213623046875,16.043467643467643,-59.67570207570208,36.285225885225884,0.056640625,2.00341796875,-0.40283203125,-0.9002685546875,0.79345703125,1.9989013671875,-55.77728937728938,31.936996336996337,13.044688644688645
22:44.429,-0.1826171875,-1.87744140625,0.60009765625,-0.9307861328125,-9.25445556640625,2.75421142578125,58.326251526251525,-4.947985347985348,44.68180708180708,-1.93017578125,-0.03759765625,0.36376953125,-0.95367431640625,2.29644775390625,1.220703125,15.443711843711844,-60.57533577533577,35.38559218559219,0.0634765625,2.0078125,-0.39404296875,-0.92315673828125,0.98419189453125,1.861572265625,-54.577777777777776,32.536752136752135,14.993894993894994
22:45.306,-0.6533203125,-1.7900390625,0.36083984375,-0.823974609375,-2.25067138671875,0.80108642578125,58.176312576312576,-3.2986568986568985,47.68058608058608,-1.9052734375,-0.046875,0.39111328125,-2.99835205078125,-2.349853515625,0.1983642578125,14.394139194139193,-59.825641025641026,35.38559218559219,0.06298828125,2.0107421875,-0.3984375,-1.19781494140625,1.0528564453125,1.88446044921875,-52.928449328449325,31.936996336996337,15.143833943833943
22:46.232,-0.6533203125,-1.7900390625,0.36083984375,-1.2664794921875,0.67138671875,0.23651123046875,57.87643467643468,5.397802197802197,47.08083028083028,-1.927734375,-0.0517578125,0.4169921875,-2.105712890625,-0.41961669921875,1.2054443359375,16.043467643467643,-59.22588522588522,36.285225885225884,0.0595703125,1.99951171875,-0.38623046875,-1.0986328125,0.99945068359375,1.64031982421875,-54.877655677655675,31.787057387057384,14.244200244200243
22:47.159,-0.6875,-1.794921875,0.35888671875,-1.2664794921875,0.67138671875,0.23651123046875,58.476190476190474,5.697680097680098,47.380708180708176,-1.9130859375,-0.05078125,0.3896484375,-2.9449462890625,0.48828125,0.90789794921875,15.893528693528692,-58.026373626373626,38.234432234432234,0.06298828125,2.0126953125,-0.384765625,-0.83160400390625,1.02996826171875,2.08282470703125,-53.67814407814408,31.936996336996337,14.094261294261294
22:47.988,-0.68701171875,-1.79638671875,0.35400390625,-1.03759765625,-0.2288818359375,0.17547607421875,58.476190476190474,5.697680097680098,47.380708180708176,-1.904296875,-0.0400390625,0.36767578125,-4.47845458984375,-0.0152587890625,0.79345703125,16.043467643467643,-58.626129426129424,36.58510378510378,0.064453125,2.0087890625,-0.3994140625,-0.946044921875,1.0223388671875,1.64794921875,-54.577777777777776,33.88620268620269,13.944322344322345
22:48.816,-0.681640625,-1.79541015625,0.3720703125,-1.42669677734375,1.1138916015625,0.31280517578125,59.52576312576312,3.4485958485958483,45.88131868131868,-1.904296875,-0.0400390625,0.36767578125,-4.47845458984375,-0.0152587890625,0.79345703125,16.343345543345542,-59.975579975579976,37.33479853479853,0.064453125,2.0087890625,-0.3994140625,-0.946044921875,1.0223388671875,1.64794921875,-55.32747252747252,32.836630036630034,15.293772893772893
22:49.645,-0.68212890625,-1.7939453125,0.38232421875,-1.3885498046875,1.2054443359375,0.213623046875,59.37582417582417,5.097924297924298,46.18119658119658,-1.91064453125,-0.05712890625,0.41064453125,-3.70025634765625,-0.3509521484375,1.62506103515625,16.343345543345542,-59.975579975579976,37.33479853479853,0.06396484375,2.00537109375,-0.39208984375,-1.068115234375,1.0833740234375,1.89971923828125,-55.32747252747252,32.836630036630034,15.293772893772893
22:50.474,-0.6767578125,-1.79345703125,0.38330078125,-1.79290771484375,1.25885009765625,0.72479248046875,57.42661782661782,5.697680097680098,47.380708180708176,-1.90966796875,-0.05517578125,0.408203125,-2.655029296875,-0.98419189453125,1.8768310546875,16.343345543345542,-58.626129426129424,36.58510378510378,0.05810546875,2.00732421875,-0.39404296875,-1.13677978515625,1.06048583984375,1.9073486328125,-52.32869352869353,33.28644688644688,16.043467643467643
