time,hand_accelerometer_x,hand_accelerometer_y,hand_accelerometer_z,hand_gyroscope_x,hand_gyroscope_y,hand_gyroscope_z,hand_magnetometer_x,hand_magnetometer_y,hand_magnetometer_z,ankle_accelerometer_x,ankle_accelerometer_y,ankle_accelerometer_z,ankle_gyroscope_x,ankle_gyroscope_y,ankle_gyroscope_z,ankle_magnetometer_x,ankle_magnetometer_y,ankle_magnetometer_z,chest_accelerometer_x,chest_accelerometer_y,chest_accelerometer_z,chest_gyroscope_x,chest_gyroscope_y,chest_gyroscope_z,chest_magnetometer_x,chest_magnetometer_y,chest_magnetometer_z
45:19.122,0.86376953125,0.00927734375,1.849609375,-1.068115234375,1.0528564453125,0.18310546875,16.193406593406593,-30.287667887667887,51.72893772893773,-0.13916015625,2.01806640625,0.0556640625,-2.92205810546875,0.43487548828125,1.373291015625,-42.58266178266178,-113.2039072039072,-1.9492063492063492,-0.0009765625,1.5341796875,-1.2880859375,-0.98419189453125,0.9918212890625,1.68609619140625,-100.75897435897436,-14.843956043956043,-24.88986568986569
45:19.951,0.84912109375,0.005859375,1.88623046875,-1.0223388671875,2.2430419921875,0.244140625,19.49206349206349,-30.587545787545785,52.628571428571426,-0.14306640625,2.0244140625,0.06591796875,-3.0975341796875,0.4425048828125,0.95367431640625,-40.93333333333333,-113.35384615384615,-3.598534798534798,-0.0009765625,1.53857421875,-1.2880859375,-0.93841552734375,0.9613037109375,1.77764892578125,-100.3091575091575,-13.794383394383393,-25.93943833943834
45:20.732,0.84912109375,0.005859375,1.88623046875,-1.0223388671875,2.2430419921875,0.244140625,19.19218559218559,-30.887423687423688,52.17875457875458,-0.11962890625,2.0263671875,0.0830078125,-3.2958984375,0.518798828125,1.35040283203125,-42.43272283272283,-112.3042735042735,-1.799267399267399,-0.00634765625,1.53955078125,-1.29638671875,-1.22833251953125,0.90789794921875,1.4495849609375,-101.20879120879121,-13.344566544566543,-25.33968253968254
45:21.511,0.869140625,-0.00146484375,1.8857421875,-1.220703125,0.03814697265625,0.09918212890625,19.19218559218559,-30.887423687423688,52.17875457875458,-0.11962890625,2.0263671875,0.0830078125,-3.2958984375,0.518798828125,1.35040283203125,-40.93333333333333,-112.3042735042735,-3.598534798534798,-0.00634765625,1.53955078125,-1.29638671875,-1.007080078125,0.91552734375,1.5716552734375,-99.1096459096459,-14.694017094017093,-24.29010989010989
45:22.340,0.8515625,-0.00732421875,1.88916015625,-1.44195556640625,1.60980224609375,-0.0762939453125,18.44249084249084,-31.637118437118435,50.829304029304026,-0.1298828125,2.03369140625,0.064453125,-2.67791748046875,0.396728515625,0.31280517578125,-40.93333333333333,-112.3042735042735,-3.598534798534798,-0.00634765625,1.52978515625,-1.29833984375,-1.007080078125,0.91552734375,1.5716552734375,-99.1096459096459,-14.694017094017093,-24.29010989010989
45:23.120,0.86865234375,-0.00341796875,1.8681640625,-1.2054443359375,1.53350830078125,-0.274658203125,18.59242979242979,-31.037362637362637,52.47863247863248,-0.13525390625,2.03173828125,0.060546875,-2.9754638671875,0.3204345703125,0.86212158203125,-41.683028083028084,-112.3042735042735,-2.249084249084249,-0.009765625,1.5419921875,-1.29443359375,-0.823974609375,0.7171630859375,1.6326904296875,-100.3091575091575,-13.794383394383393,-24.14017094017094
45:23.949,0.84814453125,-0.0009765625,1.87158203125,-0.8392333984375,0.946044921875,0.49591064453125,19.19218559218559,-30.887423687423688,51.57899877899878,-0.13134765625,2.02392578125,0.05224609375,-3.0364990234375,-0.35858154296875,1.18255615234375,-41.38315018315018,-112.6041514041514,-4.648107448107448,0.0107421875,1.53173828125,-1.29052734375,-0.7171630859375,0.6561279296875,1.83868408203125,-100.3091575091575,-15.293772893772893,-24.14017094017094
45:24.778,0.84814453125,-0.0009765625,1.87158203125,-1.45721435546875,0.83160400390625,0.30517578125,18.29255189255189,-30.287667887667887,52.02881562881563,-0.125,2.03759765625,0.07763671875,-3.90625,-0.091552734375,1.1749267578125,-41.832967032967034,-110.2051282051282,-2.998778998778999,-0.01123046875,1.53369140625,-1.2861328125,-1.1749267578125,0.8544921875,1.83868408203125,-100.75897435897436,-14.244200244200243,-25.18974358974359
45:25.607,0.87109375,-0.001953125,1.86865234375,-1.45721435546875,0.83160400390625,0.30517578125,18.29255189255189,-30.287667887667887,52.02881562881563,-0.125,2.03759765625,0.07763671875,-1.73187255859375,0.03814697265625,0.54931640625,-42.28278388278388,-113.95360195360195,-2.998778998778999,-0.01123046875,1.53369140625,-1.2861328125,-0.91552734375,0.8087158203125,2.0599365234375,-100.3091575091575,-14.244200244200243,-24.14017094017094
45:26.387,0.87548828125,0.00439453125,1.85986328125,-1.0833740234375,1.28936767578125,-0.05340576171875,17.692796092796094,-31.637118437118435,51.57899877899878,-0.1318359375,2.021484375,0.06640625,-1.73187255859375,0.03814697265625,0.54931640625,-42.28278388278388,-113.95360195360195,-2.998778998778999,-0.00244140625,1.533203125,-1.2998046875,-0.91552734375,0.8087158203125,2.0599365234375,-100.3091575091575,-14.244200244200243,-24.14017094017094
