time,hand_accelerometer_x,hand_accelerometer_y,hand_accelerometer_z,hand_gyroscope_x,hand_gyroscope_y,hand_gyroscope_z,hand_magnetometer_x,hand_magnetometer_y,hand_magnetometer_z,ankle_accelerometer_x,ankle_accelerometer_y,ankle_accelerometer_z,ankle_gyroscope_x,ankle_gyroscope_y,ankle_gyroscope_z,ankle_magnetometer_x,ankle_magnetometer_y,ankle_magnetometer_z,chest_accelerometer_x,chest_accelerometer_y,chest_accelerometer_z,chest_gyroscope_x,chest_gyroscope_y,chest_gyroscope_z,chest_magnetometer_x,chest_magnetometer_y,chest_magnetometer_z
24:20.268,1.47705078125,-0.4970703125,-1.3818359375,-3.8909912109375,5.9967041015625,-1.28936767578125,26.83907203907204,-26.23931623931624,-44.83174603174603,-1.5869140625,-0.30810546875,1.08740234375,-4.364013671875,-2.86865234375,1.65557861328125,21.44126984126984,-52.628571428571426,83.66593406593407,0.3974609375,2.03173828125,0.07763671875,-2.40325927734375,0.48828125,1.35040283203125,-110.05518925518925,-14.843956043956043,9.746031746031745
24:21.048,1.48291015625,-0.390625,-1.38427734375,-18.62335205078125,6.66046142578125,-2.13623046875,25.78949938949939,-25.18974358974359,-45.88131868131868,-1.70166015625,-0.302734375,0.97216796875,0.8392333984375,13.6871337890625,-17.120361328125,24.589987789987788,-53.228327228327224,89.21367521367522,0.0283203125,2.099609375,-0.1875,46.051025390625,-27.00042724609375,-42.6177978515625,-109.75531135531135,-14.843956043956043,12.894749694749695
24:21.926,1.6181640625,-0.2255859375,-1.23828125,33.40911865234375,-6.988525390625,-21.3470458984375,17.242979242979242,-26.08937728937729,-51.87887667887668,-1.544921875,-0.61328125,1.005859375,-28.73992919921875,-10.68115234375,29.5867919921875,24.14017094017094,-52.47863247863248,81.86666666666666,-0.04931640625,2.361328125,0.05517578125,48.33984375,51.52130126953125,27.0233154296875,-120.70085470085469,-2.0991452991452992,-17.992673992673993
24:22.706,1.6181640625,-0.2255859375,-1.23828125,33.40911865234375,-6.988525390625,-21.3470458984375,27.13894993894994,-22.19096459096459,-26.98901098901099,-1.802734375,-0.31201171875,0.9580078125,28.17535400390625,-3.08990478515625,-22.98736572265625,19.042246642246642,-57.57655677655677,82.16654456654456,0.2978515625,2.4873046875,-0.75537109375,140.289306640625,-92.0867919921875,-2.99072265625,-53.228327228327224,-0.5997557997557997,78.56800976800976
24:23.535,1.5390625,-0.4091796875,-1.4306640625,-19.8516845703125,19.3939208984375,24.10888671875,27.13894993894994,-22.19096459096459,-26.98901098901099,-1.93408203125,-0.6083984375,1.08642578125,32.26470947265625,-17.63153076171875,-6.866455078125,8.396581196581197,-61.47496947496947,67.17264957264958,0.61376953125,1.9287109375,0.25537109375,21.90399169921875,-59.1278076171875,-0.823974609375,-80.51721611721611,1.3494505494505493,7.197069597069596
24:24.461,2.02880859375,-0.259765625,-1.326171875,-34.4390869140625,4.6234130859375,34.97314453125,28.338461538461537,-13.494505494505495,-27.13894993894994,-1.93408203125,-0.6083984375,1.08642578125,32.26470947265625,-17.63153076171875,-6.866455078125,5.547741147741148,-65.52332112332113,64.47374847374847,0.61376953125,1.9287109375,0.25537109375,21.90399169921875,-59.1278076171875,-0.823974609375,-36.285225885225884,-2.848840048840049,71.67081807081807
24:25.338,1.8330078125,-0.28857421875,-1.17626953125,6.3629150390625,58.69293212890625,-21.8505859375,30.587545787545785,-10.345787545787545,-19.49206349206349,-1.5830078125,-0.28857421875,0.716796875,-19.40155029296875,-40.38238525390625,-16.91436767578125,1.799267399267399,-63.57411477411477,54.427838827838826,-0.1220703125,1.333984375,-0.68896484375,4.608154296875,-24.47509765625,-48.76708984375,-48.28034188034188,-3.8984126984126983,2.249084249084249
24:26.216,2.2529296875,-0.1376953125,-1.42431640625,24.383544921875,-6.53839111328125,-3.94439697265625,22.34090354090354,-7.347008547008547,-35.38559218559219,-1.8310546875,-0.57177734375,1.06640625,5.462646484375,-20.233154296875,27.9998779296875,1.799267399267399,-63.57411477411477,54.427838827838826,0.3525390625,2.015625,0.28369140625,29.11376953125,-27.65655517578125,-0.9002685546875,-48.28034188034188,-3.8984126984126983,2.249084249084249
24:27.045,1.59033203125,-0.1953125,-0.79931640625,-3.143310546875,27.48870849609375,9.25445556640625,30.137728937728937,-14.843956043956043,-5.697680097680098,-1.501953125,-0.4150390625,0.7900390625,3.18145751953125,-12.90130615234375,-0.08392333984375,10.795604395604395,-70.17142857142856,73.32014652014652,-0.06787109375,1.3564453125,0.02734375,-128.631591796875,-76.5380859375,38.44451904296875,-81.56678876678876,3.598534798534798,-19.941880341880342
24:28.263,1.5634765625,-0.212890625,-1.158203125,15.67840576171875,-6.05010986328125,-1.96075439453125,31.637118437118435,-11.095482295482295,-9.596092796092796,-1.62939453125,-0.404296875,0.83056640625,-5.80596923828125,-13.69476318359375,-2.2125244140625,4.498168498168498,-69.57167277167277,64.47374847374847,0.25341796875,2.07861328125,0.1943359375,39.947509765625,17.05169677734375,-4.57000732421875,-81.56678876678876,3.598534798534798,-19.941880341880342
24:29.190,1.6015625,-0.40234375,-0.9912109375,10.4827880859375,10.8642578125,3.44085693359375,30.437606837606836,-10.645665445665445,-2.998778998778999,-1.5078125,-0.4423828125,0.943359375,-2.69317626953125,-20.7672119140625,3.6163330078125,9.746031746031745,-74.81953601953602,72.72039072039071,0.18896484375,1.56396484375,-0.52490234375,67.72613525390625,-57.9833984375,8.94927978515625,-24.14017094017094,-12.894749694749695,89.51355311355312
24:30.116,1.90576171875,-0.20361328125,-1.20263671875,71.35772705078125,-3.51715087890625,-47.55401611328125,28.188522588522588,-10.345787545787545,-10.345787545787545,-1.67138671875,-0.7080078125,1.1796875,-66.7877197265625,-34.0576171875,42.0989990234375,7.197069597069596,-73.02026862026862,65.97313797313797,-0.06298828125,2.10791015625,-0.107421875,0.3509521484375,27.069091796875,34.8358154296875,-43.93211233211233,-12.145054945054945,24.14017094017094
24:31.140,1.64013671875,-0.34423828125,-1.23193359375,50.66680908203125,-6.561279296875,-38.055419921875,11.845177045177044,-14.694017094017093,-7.946764346764346,-1.689453125,-0.39892578125,0.96533203125,-56.915283203125,-21.29364013671875,31.30340576171875,24.739926739926737,-77.21855921855922,73.17020757020757,-0.1357421875,2.09765625,-0.29248046875,45.0439453125,-8.75091552734375,-46.9512939453125,-35.985347985347985,30.437606837606836,86.66471306471306
